title	year	citations	authors	authororder	openaccess	oastatus	relatedworks	concepts	topics	domain	field	subfield	languages	worktype
V Is for Veil, V Is for Ventriloquism: Global Feminisms in &lt;i&gt;The Vagina Monologues&lt;/i&gt;	2010	5	Srimati Basu	1. Srimati Basu	False	closed	https://openalex.org/W4387497383; https://openalex.org/W3183948672; https://openalex.org/W3173606202; https://openalex.org/W3110381201; https://openalex.org/W2948807893; https://openalex.org/W2899084033; https://openalex.org/W2778153218; https://openalex.org/W2758277628; https://openalex.org/W2748952813; https://openalex.org/W1531601525	Vagina; Art; Medicine; Anatomy	Historical Gender and Feminism Studies; Feminism, Gender, and Sexuality Studies; Historical Studies on Reproduction, Gender, Health, and Societal Changes	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Genesis Matriarchs Engage Feminism	2002	1	Jo Ann Davidson	1. Jo Ann Davidson	True	green	https://openalex.org/W3195014319; https://openalex.org/W3877852; https://openalex.org/W2315872483; https://openalex.org/W2230559246; https://openalex.org/W1964923067; https://openalex.org/W624930063; https://openalex.org/W1597556133; https://openalex.org/W3172946561; https://openalex.org/W2486368554; https://openalex.org/W2195528650; https://openalex.org/W1990116914; https://openalex.org/W3135238708; https://openalex.org/W3147906400; https://openalex.org/W1599503837; https://openalex.org/W3205834880; https://openalex.org/W2959066042; https://openalex.org/W3022430701; https://openalex.org/W3137072758; https://openalex.org/W3112349380; https://openalex.org/W2621831887	Feminism; Political science; Sociology; Gender studies	Religion, Society, and Development	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Shifting discourses – from gender to feminisms: Can global instruments impact on the lives of African women?	2018	4	Vicci Tallis; Claire Mathonsi	1. Vicci Tallis; 2. Claire Mathonsi	True	hybrid	https://openalex.org/W2748952813; https://openalex.org/W2054135106; https://openalex.org/W3014293527; https://openalex.org/W2144643708; https://openalex.org/W2148742359; https://openalex.org/W28218254; https://openalex.org/W2280141087; https://openalex.org/W2160079452; https://openalex.org/W1968315889; https://openalex.org/W1982928550	Gender studies; Political science; Sociology	Human Rights and Development; International Human Rights and Reproductive Law; Historical and Contemporary Political Dynamics	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Hacer espacio: Museos y feminismos = Making Space: Museums and Feminisms	2020	2	Ana Pol Colmenares; María Rosón Villena	1. Ana Pol Colmenares; 2. María Rosón Villena	True	diamond	https://openalex.org/W4387497383; https://openalex.org/W3183948672; https://openalex.org/W3173606202; https://openalex.org/W3110381201; https://openalex.org/W2948807893; https://openalex.org/W2935909890; https://openalex.org/W2778153218; https://openalex.org/W2758277628; https://openalex.org/W2748952813; https://openalex.org/W1531601525	Humanities; Art	Philosophical and Cultural Analysis; Cultural and Social Dynamics; Memory, violence, and history	Social Sciences	Arts and Humanities	Philosophy	es	article
'Difference in Itself' in Contemporary Feminisms	2011	1	Kathrin Thiele	1. Kathrin Thiele	True	green	https://openalex.org/W1563661624; https://openalex.org/W1759799650; https://openalex.org/W2992382670; https://openalex.org/W2156662253; https://openalex.org/W2993136998; https://openalex.org/W2111521910; https://openalex.org/W1990390246; https://openalex.org/W2989479577; https://openalex.org/W2985365941; https://openalex.org/W2497460800; https://openalex.org/W1535555861; https://openalex.org/W2986212292; https://openalex.org/W2990222520; https://openalex.org/W2970188784; https://openalex.org/W2506151132; https://openalex.org/W1595196888; https://openalex.org/W2990190778; https://openalex.org/W2120888268; https://openalex.org/W2154544356; https://openalex.org/W2494893821	Political science; Gender studies; Sociology	Gender, Feminism, and Media; Foucault, Power, and Ethics	Social Sciences	Social Sciences	Gender Studies	en	article
Religion, secularity and feminism in a West-European context : a qualitative study of organisations and activism in Flanders	2014	3	Hendrika van den Brandt	1. Hendrika van den Brandt	True	green	https://openalex.org/W2039817700; https://openalex.org/W1144206647; https://openalex.org/W1198493475; https://openalex.org/W2622364575; https://openalex.org/W1180553006; https://openalex.org/W1136276362; https://openalex.org/W3092602419; https://openalex.org/W2620418183; https://openalex.org/W3106792910; https://openalex.org/W972389455; https://openalex.org/W1025456622; https://openalex.org/W618037681; https://openalex.org/W2902705679; https://openalex.org/W2607631226; https://openalex.org/W2004692411; https://openalex.org/W3010296427; https://openalex.org/W912944435; https://openalex.org/W3098057425; https://openalex.org/W1970795164; https://openalex.org/W1010802276	Secularity; Feminism; Context (archaeology); Gender studies; Qualitative research; Political science; Sociology; Social science; Law; Geography; Archaeology	Religion, Society, and Development	Social Sciences	Social Sciences	Sociology and Political Science	en	dissertation
Come as You Are: Sexuality and Narrative	1998	236	Elizabeth LeBlanc; Judith Roof; Renée C. Hoogland	1. Elizabeth LeBlanc; 2. Judith Roof; 3. Renée C. Hoogland	False	closed	https://openalex.org/W2748952813; https://openalex.org/W4239242074; https://openalex.org/W2348886128; https://openalex.org/W2388067091; https://openalex.org/W1890838579; https://openalex.org/W70682504; https://openalex.org/W4231213744; https://openalex.org/W2553746331; https://openalex.org/W2039286234; https://openalex.org/W3016169855	Human sexuality; Narrative; Sociology; Gender studies; Psychology; Art; Literature	American and British Literature Analysis; Race, History, and American Society; Cinema and Media Studies	Social Sciences	Arts and Humanities	Literature and Literary Theory	en	article
Bianca Pitzorno: Imagination and Feminism	2012	1	Melissa Garavini	1. Melissa Garavini	True	gold	https://openalex.org/W2748952813; https://openalex.org/W3193494382; https://openalex.org/W643768068; https://openalex.org/W4296838612; https://openalex.org/W1811478078; https://openalex.org/W2016693867; https://openalex.org/W4312297714; https://openalex.org/W1656273795; https://openalex.org/W2163928013; https://openalex.org/W2461474427	Adventure; Art; Theme (computing); Feminism; Art history; Movie theater; Popular culture; Literature; Humanities; History; Visual arts; Sociology; Gender studies; Computer science; Operating system	Italian Literature and Culture; Italian Fascism and Post-war Society	Social Sciences	Arts and Humanities	General Arts and Humanities	en	article
State feminism with Chinese characteristics: The inextricable link between women’s political representation and political episteme in contemporary China (2013–2023)	2024	6	Thomas William Whyke; Ze-Yang Wang; Joaquín López-Múgica	1. Thomas William Whyke; 2. Ze-Yang Wang; 3. Joaquín López-Múgica	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W2899674914	Feminism; Episteme; Politics; Representation (politics); China; State (computer science); Gender studies; Sociology; Political science; Social science; Law; Mathematics; Algorithm	Gender Politics and Representation; Gender, Feminism, and Media; Social Policy and Reform Studies	Social Sciences	Social Sciences	Gender Studies	en	article
Correction to: Gendered Racial Microaggressions, Feminism, and Asian American Women’s Eating Pathology: An Intersectional Investigation	2020	4	Thomas P. Le; Linda Kuo; Vic Yamasaki	1. Thomas P. Le; 2. Linda Kuo; 3. Vic Yamasaki	True	bronze	https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W3161492277; https://openalex.org/W1994426242; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199; https://openalex.org/W2209906412	Feminism; Psychology; Gender studies; Asian americans; Racism; Eating disorders; Clinical psychology; Criminology; Social psychology; Ethnic group; Sociology; Anthropology	Culinary Culture and Tourism	Life Sciences	Agricultural and Biological Sciences	Food Science	en	article
Feminism, Democracy and the Right to Privacy	2004	1	Annabelle Lever	1. Annabelle Lever	True	green	https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Democracy; Political science; Right to privacy; Sociology; Internet privacy; Gender studies; Law; Computer science; Politics	Law, Rights, and Freedoms; Human Rights and Development; Political Philosophy and Ethics	Social Sciences	Social Sciences	Sociology and Political Science	en	preprint
Radical Inclusion	2016	71	Cristan Williams	1. Cristan Williams	False	closed	https://openalex.org/W185176236; https://openalex.org/W3196993756; https://openalex.org/W2412755911; https://openalex.org/W4233782242; https://openalex.org/W4230831596; https://openalex.org/W2021893094; https://openalex.org/W2587968541; https://openalex.org/W3030303643; https://openalex.org/W2047946542; https://openalex.org/W2477853012	Feminism; Inclusion (mineral); Narrative; Gender studies; Sociology; Radical right; Political radicalism; Political science; Literature; Art; Law; Politics	Race, History, and American Society; Anarchism and Radical Politics; Feminist Theory and Gender Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Framing Feminism: How U.S. and French Media Frame #MeToo and #BalanceTonPorc from a Feminist Perspective	2019	4	Kira Erickson	1. Kira Erickson	True	green	https://openalex.org/W2938323047; https://openalex.org/W2919225058; https://openalex.org/W2595578590; https://openalex.org/W1482022507; https://openalex.org/W61962274; https://openalex.org/W576176714; https://openalex.org/W2786342030; https://openalex.org/W2047968863; https://openalex.org/W2800565124; https://openalex.org/W54890198; https://openalex.org/W1539876798; https://openalex.org/W3174817755; https://openalex.org/W2106982300; https://openalex.org/W2764930286; https://openalex.org/W2524210127; https://openalex.org/W2468125606; https://openalex.org/W2070914382; https://openalex.org/W3160330707; https://openalex.org/W3191035880; https://openalex.org/W2609728951	Feminism; Framing (construction); Perspective (graphical); Gender studies; Sociology; History; Computer science; Artificial intelligence; Archaeology	French Historical and Cultural Studies	Social Sciences	Arts and Humanities	History	en	article
Modern radical feminism: public and private patriarchy	1992	1	Valerie Bryson	1. Valerie Bryson	False	closed	https://openalex.org/W4236595221; https://openalex.org/W2167534440; https://openalex.org/W2365214043; https://openalex.org/W2479103018; https://openalex.org/W2377225929; https://openalex.org/W254174680; https://openalex.org/W3093011463; https://openalex.org/W2253458166; https://openalex.org/W1584683510; https://openalex.org/W4249251355	Oppression; Patriarchy; Feminism; Human sexuality; Power (physics); State (computer science); Politics; Gender studies; Sociology; Feminist theory; Neglect; Political philosophy; Political science; Law; Psychology; Algorithm; Quantum mechanics; Psychiatry; Computer science; Physics	Political Economy and Marxism; Gender Politics and Representation; Political and Economic history of UK and US	Social Sciences	Social Sciences	Sociology and Political Science	en	book-chapter
“Why Can’t Run ‘Like a Girl’ Also Mean Win The Race?”: Commodity Feminism and Participatory Branding as Forms of Self-Therapy in the Neoliberal Advertising Space	2016	8	Marcus Reker; Bibiana Katherine	1. Marcus Reker; 2. Bibiana Katherine	False	closed	https://openalex.org/W2037028380; https://openalex.org/W64774767; https://openalex.org/W606279023; https://openalex.org/W2955730787; https://openalex.org/W1532861322; https://openalex.org/W3142456578; https://openalex.org/W2202085298; https://openalex.org/W2695046069; https://openalex.org/W3090963541; https://openalex.org/W1592614425; https://openalex.org/W627414654; https://openalex.org/W2036194314; https://openalex.org/W2894897091; https://openalex.org/W2917079833; https://openalex.org/W2806320607; https://openalex.org/W2604780014; https://openalex.org/W2964603793; https://openalex.org/W3084913669; https://openalex.org/W2735113706; https://openalex.org/W2910409026	Commodification; Ideology; Sociology; Empowerment; Feminism; Advertising; Girl; Gender studies; Politics; Political science; Business; Economics; Psychology; Law; Developmental psychology; Market economy	Gender, Feminism, and Media; Media, Gender, and Advertising; Digital Communication and Language	Social Sciences	Social Sciences	Gender Studies	en	article
Islamic feminism as an alternative strategy for preventing and countering violent extremism among Muslim women in Kenya	2023	2	Rickline S. Ng’ayo	1. Rickline S. Ng’ayo	True	diamond	https://openalex.org/W2377237701; https://openalex.org/W2360099860; https://openalex.org/W4323893170; https://openalex.org/W1583826057; https://openalex.org/W2352463596; https://openalex.org/W2380850119; https://openalex.org/W2101450440; https://openalex.org/W2383675217; https://openalex.org/W2371153415; https://openalex.org/W2556057837	Islam; Mainstream; Ideology; Feminism; Gender studies; Government (linguistics); Political science; Violent extremism; Sociology; Criminology; Terrorism; Politics; Law; Geography; Archaeology; Linguistics; Philosophy	Religion and Sociopolitical Dynamics in Nigeria; Islamic Studies and History; Terrorism, Counterterrorism, and Political Violence	Social Sciences	Social Sciences	General Social Sciences	en	article
Grinding Axess and Balancing Oppositions: The Transformation of Feminism in Ursula K. Le Guin's Science Fiction	2006	4	Alexis Lothian	1. Alexis Lothian	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874	Feminism; Art; Art history; Sociology; Gender studies	Utopian, Dystopian, and Speculative Fiction; Themes in Literature Analysis	Social Sciences	Arts and Humanities	Philosophy	en	article
Masculinities Theory as Impetus for Change in Feminism and Law	2021	1	Ann C. McGinley	1. Ann C. McGinley	False	closed	https://openalex.org/W1553094232; https://openalex.org/W4206117048; https://openalex.org/W2264447720; https://openalex.org/W2913332026; https://openalex.org/W2622465890; https://openalex.org/W1520076060; https://openalex.org/W2264720906; https://openalex.org/W4313480393; https://openalex.org/W2478148965; https://openalex.org/W3123527201	Feminism; Gender studies; Scholarship; Critical race theory; Feminist legal theory; Queer theory; Feminist theory; Sociology; Critical legal studies; Feminist philosophy; Political science; Race (biology); Law; Queer; Legal profession; Legal realism	Feminist Theory and Gender Studies; Feminism, Gender, and Sexuality Studies; Legal Systems and Judicial Processes	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
Black Feminism and Womanism: A Narrative Review of the Weight Loss Literature	2023	1	Loneke T. Blackman Carr; Jameta Barlow	1. Loneke T. Blackman Carr; 2. Jameta Barlow	True	green	https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W2899674914	Feminism; Narrative; Gender studies; Sociology; Narrative review; Psychology; Art; Psychotherapist; Literature	Obesity and Health Practices; Bariatric Surgery and Outcomes; Obesity, Physical Activity, Diet	Health Sciences	Health Professions	Pharmacy	en	review
Transforming and Grappling with Concepts of Activism and Feminism with Indigenous Women Artists	2008	1	Julie Nagam	1. Julie Nagam	True	green	https://openalex.org/W3107168762; https://openalex.org/W2477972571; https://openalex.org/W2483104670; https://openalex.org/W2176074236; https://openalex.org/W3193598186; https://openalex.org/W2479537766; https://openalex.org/W2124762804; https://openalex.org/W2274530446; https://openalex.org/W1936307235; https://openalex.org/W2897708925; https://openalex.org/W2960159713; https://openalex.org/W1515136094; https://openalex.org/W2133476475; https://openalex.org/W124951916; https://openalex.org/W2990454535; https://openalex.org/W2088646218; https://openalex.org/W315691867; https://openalex.org/W3085583276; https://openalex.org/W2399762627; https://openalex.org/W1559964411	Feminism; Mainstream; Indigenous; Gender studies; Hegemony; Sociology; Political science; Politics; Law; Biology; Ecology	Artistic and Creative Research; Cultural Industries and Urban Development	Social Sciences	Arts and Humanities	Visual Arts and Performing Arts	en	article
A Transplanted Doll’s House: Ibsenism, Feminism and Socialism in Late-Victorian and Edwardian England	1983	3	Ian Britain	1. Ian Britain	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874	Feminism; Socialism; Art; Gender studies; Art history; Sociology; Political science; Law; Politics; Communism	Cultural Studies and Interdisciplinary Research	Social Sciences	Arts and Humanities	Philosophy	en	book-chapter
Feminist assemblages : Peruvian feminisms, forced sterilization, and paradox of rights in Fujimori's Peru	2017	3	Lucía Isabel Stavig	1. Lucía Isabel Stavig	False	closed	https://openalex.org/W2800193058; https://openalex.org/W637553404; https://openalex.org/W1557400225; https://openalex.org/W2480790843; https://openalex.org/W143559323; https://openalex.org/W1598248260; https://openalex.org/W1913033728; https://openalex.org/W2023776895; https://openalex.org/W1483710363; https://openalex.org/W2792426094; https://openalex.org/W2330162311; https://openalex.org/W2110527652; https://openalex.org/W747362970; https://openalex.org/W2886818891; https://openalex.org/W2168785196; https://openalex.org/W2506959655; https://openalex.org/W316263331; https://openalex.org/W2120944371; https://openalex.org/W2607725979; https://openalex.org/W2398029596	Sterilization (economics); Human rights; Gender studies; Political science; Reproductive rights; Law; Sociology; Demography; Reproductive health; Economics; Population; Keynesian economics; Central bank; Monetary policy	Sex work and related issues	Social Sciences	Social Sciences	Sociology and Political Science	en	dissertation
controlling births and bodies in village China	1994	224	Susan Greenhalgh	1. Susan Greenhalgh	False	closed	https://openalex.org/W2305632091; https://openalex.org/W2284022615; https://openalex.org/W2385358604; https://openalex.org/W2286046068; https://openalex.org/W2274789917; https://openalex.org/W2413827262; https://openalex.org/W1982369907; https://openalex.org/W4387813866; https://openalex.org/W86248195; https://openalex.org/W2974368250	China; Subordination (linguistics); Politics; Resistance (ecology); Birth control; State (computer science); Social policy; Population; Gender studies; Reproductive rights; Sociology; Feminism; Population control; Economic growth; Political science; Political economy; Economics; Family planning; Law; Demography; Reproductive health; Computer science; Biology; Linguistics; Philosophy; Research methodology; Ecology; Algorithm	Demographic Trends and Gender Preferences; Intergenerational Family Dynamics and Caregiving; Female Genital Mutilation/Cutting Issues	Social Sciences	Social Sciences	Gender Studies	en	article
Reviving Cinderella: Contested Feminism and Conflicting Models of Female Empowerment in 21st-Century Film and Television Adaptations of “Cinderella”	2019	5	Rosalind Sibielski	1. Rosalind Sibielski	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Empowerment; Art; Gender studies; Sociology; Visual arts; Aesthetics; Political science; Law	Folklore, Mythology, and Literature Studies; Media, Gender, and Advertising; Shakespeare, Adaptation, and Literary Criticism	Social Sciences	Arts and Humanities	Literature and Literary Theory	en	article
Inhabiting Feminism and the Feminine in J M Coetzee's Foe	2013	1	K. Narasimha Rao	1. K. Narasimha Rao	True	green	https://openalex.org/W2922313145; https://openalex.org/W2565844368; https://openalex.org/W186247105; https://openalex.org/W2256885215; https://openalex.org/W130159371; https://openalex.org/W2569835728; https://openalex.org/W2033250629; https://openalex.org/W1514187177; https://openalex.org/W1569568133; https://openalex.org/W2909816223; https://openalex.org/W1135587; https://openalex.org/W2063872644; https://openalex.org/W2948797034; https://openalex.org/W2510283297; https://openalex.org/W2027907630; https://openalex.org/W850525689; https://openalex.org/W1467857179; https://openalex.org/W2137016698; https://openalex.org/W154055348; https://openalex.org/W3080076739	Feminism; White (mutation); Appropriation; Power (physics); Rhetoric; Representation (politics); Order (exchange); Politics; Gender studies; Sociology; Literature; Philosophy; Art; Linguistics; Political science; Law; Gene; Economics; Finance; Biochemistry; Quantum mechanics; Physics; Chemistry	South African History and Culture; Discourse Analysis in Language Studies; Postcolonial and Cultural Literary Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Social Theory	2009	226	Hans Joas; Wolfgang Knöbl	1. Hans Joas; 2. Wolfgang Knöbl	False	closed	https://openalex.org/W2385453369; https://openalex.org/W2367160644; https://openalex.org/W2382633101; https://openalex.org/W2349426147; https://openalex.org/W2366351446; https://openalex.org/W2971618157; https://openalex.org/W1579698565; https://openalex.org/W614329010; https://openalex.org/W2598317108; https://openalex.org/W1651203	Sociology; Symbolic interactionism; Social theory; Epistemology; Social science; Structuralism (philosophy of science); Ideal (ethics); German; Modernization theory; Ideology; Politics; Political science; Philosophy; Law; Linguistics	Critical Theory and Philosophy	Social Sciences	Social Sciences	Sociology and Political Science	en	book
The Feminist Fourth Wave	2017	102	Prudence Chamberlain	1. Prudence Chamberlain	False	closed	https://openalex.org/W2503791906; https://openalex.org/W2587265756; https://openalex.org/W2498735738; https://openalex.org/W2586182185; https://openalex.org/W2501996786; https://openalex.org/W2332941581; https://openalex.org/W2587147951; https://openalex.org/W2946980061; https://openalex.org/W2904507792; https://openalex.org/W2947840720	History	Political and Economic history of UK and US	Social Sciences	Social Sciences	Political Science and International Relations	en	book
Advocating for greater political participation: Feminisms in Egypt and the Muslim Brotherhood	2011	1	Natalie Eft	1. Natalie Eft	True	green	https://openalex.org/W53227995; https://openalex.org/W1442674395; https://openalex.org/W3175548657; https://openalex.org/W3131695245; https://openalex.org/W1978535015; https://openalex.org/W2624371211; https://openalex.org/W2113676198; https://openalex.org/W2278523334; https://openalex.org/W633540600; https://openalex.org/W2388361157; https://openalex.org/W1595443407; https://openalex.org/W2524828109; https://openalex.org/W430671270; https://openalex.org/W2281647338; https://openalex.org/W579314345; https://openalex.org/W1874906998; https://openalex.org/W3091843902; https://openalex.org/W2884087852; https://openalex.org/W628474733; https://openalex.org/W2190840061	Politics; Political science; Islam; Gender studies; Ancient history; Sociology; Geography; History; Law; Archaeology	Multiculturalism, Politics, Migration, Gender; Islamic Studies and History; Middle East Politics and Society	Social Sciences	Social Sciences	Political Science and International Relations	en	dissertation
Knowing Victims	2014	76	Rebecca Stringer	1. Rebecca Stringer	False	closed	https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W2390279801; https://openalex.org/W2358668433; https://openalex.org/W2376932109; https://openalex.org/W2382290278; https://openalex.org/W2350741829; https://openalex.org/W2130043461; https://openalex.org/W2530322880; https://openalex.org/W1596801655	Psychology; Computer science	Gender, Feminism, and Media; Gender, Security, and Conflict	Social Sciences	Social Sciences	Gender Studies	en	book
Afro-feminism and the Coloniality of Gender in Constitutional and Legislative Drafting: South Africa as a Case Study	2023	2	Mutondi Mulaudzi	1. Mutondi Mulaudzi	True	bronze	https://openalex.org/W3008737980; https://openalex.org/W4388822715; https://openalex.org/W2486344562; https://openalex.org/W3129036; https://openalex.org/W2336641070; https://openalex.org/W1975470556; https://openalex.org/W2743097940; https://openalex.org/W4238255995; https://openalex.org/W2607149076; https://openalex.org/W2529757260	Queer; Feminism; Neutrality; Sociology; Gender studies; Legislature; Contradiction; Legislation; Law; Queer theory; Political science; Epistemology; Philosophy	Legal Issues in South Africa; African Sexualities and LGBTQ+ Issues; Discrimination and Equality Law	Social Sciences	Social Sciences	Law	en	article
"""Ground for common action"": Violet McNaughton's Agrarian feminism and the origins of the farm women's movement in Canada."	1997	4	Georgina Taylor	1. Georgina Taylor	True	gold	https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W2899674914	Feminism; Agrarian society; Movement (music); Action (physics); Gender studies; Sociology; History; Art; Agriculture; Physics; Archaeology; Aesthetics; Quantum mechanics	Canadian Identity and History; American Literature and Culture; American Environmental and Regional History	Social Sciences	Social Sciences	Sociology and Political Science	en	dissertation
The twilight of youth: Understanding feminism and romance in Twilight Moms’ connection to the young-adult vampire series.	2016	4	Jennifer Stevens Aubrey; Melissa A. Click; Elizabeth Behm‐Morawitz	1. Jennifer Stevens Aubrey; 2. Melissa A. Click; 3. Elizabeth Behm‐Morawitz	False	closed	https://openalex.org/W2921807594; https://openalex.org/W2272953448; https://openalex.org/W600500295; https://openalex.org/W2916796728; https://openalex.org/W2914719240; https://openalex.org/W81871104; https://openalex.org/W4386954968; https://openalex.org/W390322537; https://openalex.org/W2085288515; https://openalex.org/W162853139	Vampire; Twilight; Romance; Feminism; Psychology; Connection (principal bundle); Gender studies; Literature; Psychoanalysis; Art; Sociology; Physics; Engineering; Astronomy; Structural engineering	Gothic Literature and Media Analysis; Comics and Graphic Narratives; Themes in Literature Analysis	Social Sciences	Social Sciences	Cultural Studies	en	article
Feminism and History: Historical Fiction — Not Just a Thing of the Past	2005	2	Peter Bramwell	1. Peter Bramwell	False	closed	https://openalex.org/W4387497383; https://openalex.org/W3183948672; https://openalex.org/W3173606202; https://openalex.org/W3110381201; https://openalex.org/W2948807893; https://openalex.org/W2899084033; https://openalex.org/W2778153218; https://openalex.org/W2758277628; https://openalex.org/W2748952813; https://openalex.org/W1531601525	Feminism; History; Literature; Art; Sociology; Gender studies	Literature: history, themes, analysis; American and British Literature Analysis; Cultural History and Identity Formation	Social Sciences	Arts and Humanities	Literature and Literary Theory	en	book-chapter
Feminism and androgyny: Gender politics in contemporary classical Chinese opera	2025	1	Lisha Xu	1. Lisha Xu	True	diamond	https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W2899674914	Androgyny; Feminism; Politics; Gender studies; Opera; Sociology; Art; Aesthetics; Political science; Literature; Law; Masculinity	Asian Culture and Media Studies	Social Sciences	Social Sciences	Cultural Studies	en	article
A woman of the future? feminism and conservatism in colonial new south wales	2004	2	Penny Russell	1. Penny Russell	True	bronze	https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W2899674914	Conservatism; Feminism; Colonialism; Gender studies; Political science; Sociology; History; Law; Politics	Latin American and Latino Studies; Race, History, and American Society	Social Sciences	Social Sciences	Cultural Studies	en	article
1 Feminism, Internationalism and the West: Question From the Indian Context	2015	1	Mary E. John	1. Mary E. John	False	closed	https://openalex.org/W2592357560; https://openalex.org/W2028752928; https://openalex.org/W2142222708; https://openalex.org/W2187423914; https://openalex.org/W2020940785; https://openalex.org/W2560212483; https://openalex.org/W2292617315; https://openalex.org/W2899440043; https://openalex.org/W2772860128; https://openalex.org/W583504221; https://openalex.org/W2299175152; https://openalex.org/W3084330426; https://openalex.org/W2051828236; https://openalex.org/W3171949641; https://openalex.org/W2536776183; https://openalex.org/W2066945240; https://openalex.org/W1505411379; https://openalex.org/W3161430991; https://openalex.org/W3094512143; https://openalex.org/W2401833250	Internationalism (politics); Feminism; Gender studies; Sociology; Colonialism; Essentialism; Westernization; Political science; Politics; Law; Modernization theory	Hermeneutics and Narrative Identity; Aging, Elder Care, and Social Issues; Health, Medicine and Society	Social Sciences	Arts and Humanities	Philosophy	en	article
MANIFESTATION OF THE SPIRIT OF FEMINISM AS REFLECTED IN BARBIE AND FAIRY SECRET THE MOVIE	2013	1	Heni Nur Amala	1. Heni Nur Amala	False	closed	https://openalex.org/W2990485349; https://openalex.org/W1496011917; https://openalex.org/W2237999453; https://openalex.org/W2237105846; https://openalex.org/W3097563270; https://openalex.org/W1493489255; https://openalex.org/W1608051407; https://openalex.org/W2393574294; https://openalex.org/W1567382676; https://openalex.org/W2411197612; https://openalex.org/W2887484792; https://openalex.org/W30360865; https://openalex.org/W1538012562; https://openalex.org/W2476685671; https://openalex.org/W2781037012; https://openalex.org/W2933977512; https://openalex.org/W2388864735; https://openalex.org/W2729492730; https://openalex.org/W2934855232; https://openalex.org/W1591477609	Feminism; Femininity; Character (mathematics); Drama; Sociology; Criticism; Literature; Object (grammar); Aesthetics; Art; Popular culture; Gender studies; Philosophy; Geometry; Mathematics; Linguistics	Gender and Women's Rights; Diverse Cultural Media Analysis	Social Sciences	Social Sciences	Political Science and International Relations	en	article
